text,sentiment
"This is a must-have! Totally worth it.",positive
"I’m not impressed. It’s just average.",neutral
"Complete waste of money. Very dissatisfied.",negative
"Service was decent, nothing extraordinary.",neutral
"Absolutely love the new features! Much better than before.",positive
"The product didn’t meet my expectations.",negative
"Everything was as expected, neither good nor bad.",neutral
"Fantastic quality and great value for money!",positive
"Extremely frustrating. I regret this purchase.",negative
"Just okay, not remarkable in any way.",neutral
"Very pleased with my purchase. Highly recommend!",positive
"Disappointing overall. Would not buy again.",negative
"Average product. It serves its purpose.",neutral
"Love how it performs! Definitely a great buy.",positive
"Really poor. I’m very unhappy with this.",negative
"Just average. Could be better.",neutral
"Exceptional experience! Exceeded all my hopes.",positive
"Quite bad. Not worth the hype.",negative
"Standard experience. Neither here nor there.",neutral
"Superb! I'm very satisfied with the results.",positive
"Terrible quality. Completely regret this purchase.",negative
"Nothing special, but it’s acceptable.",neutral
"Wonderful experience! I’m very pleased.",positive
"Awful experience. It didn’t work as promised.",negative
"Neutral. It’s neither impressive nor disappointing.",neutral
"Excellent purchase. I’m very happy with it.",positive
"Very poor. I wouldn’t recommend this to anyone.",negative
"Not too bad, but nothing outstanding.",neutral
"Highly recommend this! It’s fantastic.",positive
"Extremely poor quality. Waste of money.",negative
"Just okay. It does what it’s supposed to.",neutral
